,dataset,k_neighbors_classifier,decision_tree_classifier,gaussian_nb,best
0,iris,0.9736842105263158,0.9736842105263158,1.0,gaussian_nb
1,zoo,0.9615384615384616,1.0,1.0,decision_tree_classifier
2,wine,0.7333333333333333,0.8444444444444444,0.9333333333333333,gaussian_nb
3,hayes-roth,0.625,0.875,0.625,decision_tree_classifier
4,fri_c3_100_50,0.52,0.68,0.52,decision_tree_classifier
5,pwLinear,0.74,0.88,0.76,decision_tree_classifier
6,fri_c2_100_5,0.84,0.64,0.76,k_neighbors_classifier
7,visualizing_environmental,0.6071428571428571,0.42857142857142855,0.6785714285714286,gaussian_nb
8,wisconsin,0.5918367346938775,0.4489795918367347,0.5714285714285714,k_neighbors_classifier
9,fri_c0_100_5,0.76,0.68,0.8,gaussian_nb
10,autoPrice,0.95,0.925,0.925,k_neighbors_classifier
11,fri_c2_100_10,0.72,0.72,0.76,gaussian_nb
12,fri_c3_100_25,0.64,0.48,0.52,k_neighbors_classifier
13,fri_c2_100_25,0.8,0.76,0.88,gaussian_nb
14,fri_c3_100_10,0.64,0.84,0.44,decision_tree_classifier
15,triazines,0.7021276595744681,0.7446808510638298,0.5531914893617021,decision_tree_classifier
16,fri_c1_100_10,0.44,0.76,0.64,decision_tree_classifier
17,fri_c0_100_10,0.72,0.92,0.96,gaussian_nb
18,fri_c1_100_25,0.72,0.84,0.64,decision_tree_classifier
19,fri_c1_100_5,0.6,0.68,0.76,gaussian_nb
20,fri_c0_100_50,0.52,0.6,0.56,decision_tree_classifier
21,fri_c4_100_25,0.76,0.8,0.72,decision_tree_classifier
22,fri_c1_100_50,0.48,0.56,0.36,decision_tree_classifier
23,fri_c4_100_10,0.64,0.88,0.72,decision_tree_classifier
24,transplant,1.0,1.0,0.9696969696969697,k_neighbors_classifier
25,fri_c0_100_25,0.68,0.68,0.64,k_neighbors_classifier
26,fri_c3_100_5,0.84,0.76,0.52,k_neighbors_classifier
27,fri_c2_100_50,0.72,0.84,0.68,decision_tree_classifier
28,fri_c4_100_50,0.6,0.76,0.4,decision_tree_classifier
29,kc1-top5,0.918918918918919,0.8918918918918919,0.918918918918919,k_neighbors_classifier
30,kc1-binary,0.7297297297297297,0.5945945945945946,0.6216216216216216,k_neighbors_classifier
31,datatrieve,0.9393939393939394,0.8484848484848485,0.8181818181818182,k_neighbors_classifier
32,MyIris,0.9736842105263158,0.9736842105263158,1.0,gaussian_nb
33,KungChi3,0.9032258064516129,0.8064516129032258,0.8387096774193549,k_neighbors_classifier
34,KnuggetChase3,0.7346938775510204,0.8571428571428571,0.7551020408163265,decision_tree_classifier
35,MindCave2,0.6875,0.8125,0.8125,decision_tree_classifier
36,breast-tissue,0.4074074074074074,0.2222222222222222,0.37037037037037035,k_neighbors_classifier
37,fertility,0.92,0.8,0.88,k_neighbors_classifier
38,parkinsons,0.9387755102040817,0.9183673469387755,0.6530612244897959,k_neighbors_classifier
39,planning-relax,0.5869565217391305,0.5,0.6086956521739131,gaussian_nb
40,heart-long-beach,0.38,0.2,0.14,k_neighbors_classifier
41,heart-switzerland,0.1935483870967742,0.22580645161290322,0.1935483870967742,decision_tree_classifier
42,robot-failures-lp4,0.8,0.9,0.9,decision_tree_classifier
43,robot-failures-lp5,0.6097560975609756,0.6341463414634146,0.7317073170731707,gaussian_nb
44,Smartphone-Based_Recognition_of_Human_Activities,0.9333333333333333,0.9111111111111111,0.9333333333333333,k_neighbors_classifier
45,iris_test_upload,0.9736842105263158,0.9736842105263158,1.0,gaussian_nb
46,TuningSVMs,0.6666666666666666,0.5128205128205128,0.5897435897435898,k_neighbors_classifier
47,JuanFeldmanIris,0.9736842105263158,0.9736842105263158,1.0,gaussian_nb
48,iris-example,0.9736842105263158,0.9736842105263158,1.0,gaussian_nb
49,iriiiiiis,0.9736842105263158,0.9736842105263158,1.0,gaussian_nb
50,iris_reproduced,0.9736842105263158,0.9736842105263158,1.0,gaussian_nb
51,Iris,0.9736842105263158,0.9736842105263158,1.0,gaussian_nb
