,dataset,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,class_conc.mean,class_conc.sd,class_ent,eq_num_attr,freq_class.mean,freq_class.sd,inst_to_attr,joint_ent.mean,joint_ent.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,mut_inf.mean,mut_inf.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_inst,nr_num,ns_ratio,num_to_cat,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var_importance.mean,var_importance.sd
0,iris,0.20922243392447848,0.11995019623784713,2.279010448380773,0.05742641939520074,0.02666666666666667,0.0,0.27232594204286165,0.14258948387896486,1.584962500721156,1.8824081456478539,0.3333333333333333,0.0,37.5,3.0219863138519676,0.38738046925935415,9,3.7777777777777777,1.2018504251546631,0.1111111111111111,0.15051762539834182,37.46666666666667,13.142298124757328,0.3333333333333333,0.22222222222222224,0.8419866352499615,0.42517984298139233,8,2.0,0.05333333333333334,1.6,0.8944271909999159,2.6666666666666665,1.5275252316519465,4,0,0,3,150,4,1.7067062028890763,,3.0588235294117645,1.4348601079588785,0.19491705385114735,0.13300709991513865,0.2708333333333333,0.10711960313126631,0.25,0.44925548152944056
1,zoo,0.15290181314656293,0.2037455624761094,0.7611227951505602,0.3740142077210004,0.15841584158415842,0.0,0.5931607846766233,0.304556754551463,2.390559682294039,5.102573361067016,0.14285714285714285,0.12767506756884595,6.3125,2.683181681251413,0.27027376321129876,10,4.8,2.0976176963403033,0.1,0.1221969200435623,88.03809523809524,60.738832261742,0.14285714285714285,0.053452248382484885,0.4685007961931862,0.3464881332255415,9,0.5625,0.0891089108910891,1.2857142857142858,0.4879500364742666,1.125,0.3535533905932738,16,15,0,7,101,16,0.6245923194476525,,4.105263157894737,2.1316330943956574,0.13318105680701312,0.12789839346659077,0.2078125,0.17948735834469112,0.06250000000000001,0.106234877875545
2,wine,0.07329411383335009,0.049576045598282936,2.3173058075119184,0.008828109443088206,0.07303370786516854,0.0,0.1527908582113731,0.07145183132247508,1.5668222768551812,3.1829061453642518,0.3333333333333333,0.06462709335856702,13.692307692307692,3.3918665456041106,0.23309370719414702,12,3.75,0.7537783614444091,0.08333333333333333,0.1265510065295304,46.13333333333333,16.228668983305347,0.3333333333333333,0.16666666666666669,0.4922615387629892,0.23705787175437384,11,0.8461538461538461,0.06179775280898876,2.2,1.3038404810405297,1.5714285714285714,1.133893419027682,13,0,0,3,178,13,3.7074687438208316,,2.9565217391304346,1.2605287804426009,0.23891722674639074,0.17305714131305633,0.2864583333333333,0.08514832201766658,0.07692307692307693,0.1289862853559607
3,hayes-roth,0.03606470903270312,0.03061526247163292,1.7374254111348286,0.12976730476468012,0.025,0.0,0.07713122140287906,0.04818810643310544,1.5154656357070957,7.288488955279127,0.3333333333333333,0.12092309884109542,40.0,3.044965145464324,0.006570812309562931,25,7.56,2.5508168626278653,0.04,0.03197085261088085,1154.1968253968255,922.5932613794242,0.3333333333333333,0.24440403706431146,0.20792590137760014,0.13438287915441416,24,6.0,0.15,2.4,1.429840705968481,6.0,1.632993161855452,4,0,0,3,160,4,7.3559835480987426,,6.73469387755102,2.6439830291632735,0.08896948028320784,0.11979540816679059,0.088046875,0.14556888399583537,0.25,0.180347332751775
4,fri_c3_100_50,0.029478732973239205,0.0165445693329117,2.0,0.0,0.5,0.0,0.013174845518693898,0.015653519322495674,0.9580420222262997,32.535641557463464,0.5,0.16970562748477142,2.0,2.9285960984219614,0.03683869300920295,11,3.6363636363636362,0.674199862463242,0.09090909090909091,0.14808474232374821,39.33333333333333,8.2138095100061,0.5,0.06428243465332248,0.029445923804337318,0.03683869300920295,10,0.2,0.1,2.5,1.2909944487358056,1.25,0.4629100498862757,50,0,0,2,100,50,66.92111578124116,,2.857142857142857,1.1952286093343936,0.2580005327400437,0.08275120230510061,0.29545454545454547,0.08427498280790525,0.02,0.07625408569442867
5,pwLinear,0.009696389204212825,0.008027133580823619,1.5178208436073803,0.18333295443153141,0.05,0.0,0.060242510894737464,0.1338512455403433,0.9993506898146104,16.815882568983763,0.5,0.021213203435596444,20.0,2.457742556934139,0.2853563005758472,36,5.833333333333333,1.4040757000349275,0.027777777777777776,0.04359627186623784,477.77777777777777,443.36416485293097,0.5,0.0,0.059428976487851636,0.10618025879900411,35,3.5,0.175,3.888888888888889,3.018461712712472,3.5,1.6499158227686108,10,1,0,2,200,10,24.54008050126272,,4.929577464788732,1.823058212862362,0.11796387888131221,0.11763217761986622,0.12532552083333334,0.09119531235658296,0.09999999999999999,0.12251726314862965
6,fri_c2_100_5,0.08949327522701063,0.10638131089376339,2.0,0.0,0.05,0.0,0.042888860792589405,0.04093505711042522,0.9709505944546688,9.534318002345008,0.5,0.14142135623730948,20.0,2.869113148481516,0.10043795669680859,16,4.875,1.8211717839530315,0.0625,0.106426813663976,153.0857142857143,156.23581595121217,0.5,0.0,0.10183744597315289,0.10043795669680859,15,3.0,0.15,1.875,0.8345229603962802,3.0,1.224744871391589,5,0,0,2,100,5,18.639141387415137,,4.064516129032258,2.0483405294850714,0.11862571524448781,0.11493612369233244,0.20849609375,0.1429415317328754,0.20000000000000004,0.161926105018278
7,visualizing_environmental,0.1290657292641133,0.08868671095568907,1.9981127915175714,0.0021951444620750588,0.02702702702702703,0.0,0.04350452099907356,0.0289619624432175,0.9985358500505678,10.10051262101928,0.5,0.03185165681020483,37.0,2.8977887235108515,0.0705646958814969,35,7.171428571428572,2.8334733858943206,0.02857142857142857,0.033458830364348435,2647.3212565212566,5357.615732543514,0.5,0.020203050891044183,0.09885991805728785,0.0684241580199895,34,11.333333333333334,0.3063063063063063,2.6153846153846154,1.325296290046213,11.333333333333334,1.5275252316519468,3,0,0,2,111,3,19.211556217957767,,6.2898550724637685,3.0102835965450665,0.07222228189878473,0.08948671888484165,0.10674525669642858,0.12528361844136143,0.3333333333333333,0.14296730943436325
8,wisconsin,0.07474009853383207,0.08374094117965461,2.3062917101397815,0.08090570633440335,0.16494845360824742,0.0,0.008079431675659903,0.005074675300694931,0.9962401135461777,42.30331475483352,0.5,0.051028324415524025,6.0625,3.2789818933951573,0.07938693194671098,34,6.235294117647059,2.000891067097005,0.029411764705882353,0.04213581415687829,744.8000000000001,871.4009416248151,0.5,0.04159451654038516,0.023549930290801824,0.015015070913117785,33,1.03125,0.17010309278350516,3.3,1.7029386365926402,1.65,0.6708203932499369,32,0,0,2,194,32,96.93199732062806,,5.343283582089552,2.2866691324704225,0.10386478108829023,0.1126439949537321,0.12367876838235294,0.11095600499146856,0.03125,0.034521490922844
9,fri_c0_100_5,0.024959945335453218,0.009571262521306263,2.0,0.0,0.05,0.0,0.04197528081270422,0.022653925935780143,0.9953784388202258,10.501098261202259,0.5,0.05656854249492382,20.0,2.90059040674383,0.053076879143034855,17,5.411764705882353,2.526331914293225,0.058823529411764705,0.0870978151951282,367.8412698412698,569.1347807767913,0.5,0.12478354962115547,0.094788032076396,0.053076879143034855,16,3.2,0.16,1.6,0.8432740427115678,3.2,2.4899799195977463,5,0,0,2,100,5,20.09971012361631,,4.606060606060606,2.66855993397415,0.0920542215495225,0.11389613283978817,0.19473805147058823,0.15076550765147304,0.19999999999999998,0.12235237742686639
10,autoPrice,0.18489795552303043,0.10489547812813291,2.243884484321616,0.14047220530625523,0.09433962264150944,0.0,0.10462925912833995,0.06222627621056579,0.9244571409964927,2.641692318159009,0.5,0.22680783547493033,10.6,2.8183927934114674,0.20757841080640815,11,3.727272727272727,0.904534033733291,0.09090909090909091,0.1904604318786891,42.800000000000004,15.834813965858057,0.5,0.06428243465332248,0.34994883190664133,0.22432784865464836,10,0.6666666666666666,0.06289308176100629,2.0,1.0,2.0,0.7071067811865476,15,0,0,2,159,15,5.412035931356488,,2.9523809523809526,1.3219754338182867,0.20271948824703734,0.10055483804113603,0.2897727272727273,0.10466735728878503,0.06666666666666667,0.22158484740020734
11,fri_c2_100_10,0.04123253706017467,0.04997585292276857,2.0,0.0,0.1,0.0,0.03294273334437651,0.041548824011740516,0.9927744539878083,12.81646191641526,0.5,0.07071067811865477,10.0,2.9153135712213816,0.10291582916101413,15,4.333333333333333,1.1126972805283735,0.06666666666666668,0.1110126547912873,80.66666666666667,39.4365071379058,0.5,0.04714045207910316,0.07746088276642618,0.10291582916101413,14,1.4,0.14,2.3333333333333335,1.2110601416389968,1.75,0.8864052604279183,10,0,0,2,100,10,24.819483700318205,,3.5172413793103448,1.5028708160235105,0.16857586908375738,0.08691366205145258,0.23125,0.11378237372909994,0.1,0.1669076872565552
12,fri_c3_100_25,0.03039994504532003,0.0157783450847775,2.0,0.0,0.25,0.0,0.01691041056549261,0.018767072574743058,0.9927744539878083,25.535692207464514,0.5,0.07071067811865477,4.0,2.953896539658249,0.04748726350280856,17,4.529411764705882,1.280510008689093,0.058823529411764705,0.08964390337197899,109.9047619047619,83.41529574739785,0.5,0.12478354962115547,0.03887791432955961,0.04748726350280856,16,0.64,0.16,2.2857142857142856,1.3801311186847083,1.4545454545454546,0.5222329678670935,25,0,0,2,100,25,50.443088820208715,,3.696969696969697,1.6485760614248377,0.15526350537145486,0.1482612454233266,0.21966911764705882,0.10940576970024955,0.04,0.06051670039995814
13,fri_c2_100_25,0.034343379178437994,0.03474513587996969,2.0,0.0,0.25,0.0,0.020122371753175054,0.039527837134696146,0.9858150371789199,20.290169309605698,0.5,0.09899494936611662,4.0,2.9372291913864848,0.10174020827416823,13,4.153846153846154,1.214231845389905,0.07692307692307693,0.15107308470762398,66.53333333333333,37.387658886817675,0.5,0.16317848796612636,0.048585845792435994,0.10174020827416823,12,0.48,0.12,2.0,0.8944271909999159,1.0909090909090908,0.30151134457776363,25,0,0,2,100,25,40.16425200343773,,3.36,1.5513435037626795,0.16560894443600147,0.10431433864929825,0.25240384615384615,0.12399435212530592,0.039999999999999994,0.09881927274477832
14,fri_c3_100_10,0.06396438769966173,0.08611969794964769,2.0,0.0,0.1,0.0,0.022111083707404017,0.021882902506809968,0.9709505944546688,19.509114744920897,0.5,0.14142135623730948,10.0,2.921181519478704,0.05021116267078885,14,4.214285714285714,1.1217137594956024,0.07142857142857142,0.10174305063073522,71.86666666666666,37.99339573739257,0.5,0.10101525445522107,0.04976907497596481,0.050211162670788866,13,1.3,0.13,2.1666666666666665,1.1690451944500122,2.1666666666666665,1.1690451944500122,10,0,0,2,100,10,39.1855971999855,,3.4074074074074074,1.500237398118128,0.16560894443600144,0.10431433864929825,0.24330357142857142,0.1137870894127843,0.1,0.1254749649257817
15,triazines,0.09602720105683937,0.16012600946336855,0.7238873426873127,0.5626437995653855,0.3225806451612903,0.0,0.03606626950263078,0.08869532288478181,0.9785423861930186,42.62086135654305,0.5,0.12165277955897592,3.1,1.679470493542334,0.5473397690209324,40,7.075,2.4846967518628804,0.024999999999999998,0.042395482087542936,1781.8701298701296,2239.293637161275,0.5,0.07071067811865477,0.022959235337997107,0.024099055046484668,39,0.65,0.20967741935483872,3.5454545454545454,1.5724907862137931,2.1666666666666665,1.6179144164088317,60,16,0,2,186,60,30.529244420840644,,6.177215189873418,2.7116060794338694,0.08815328601462559,0.1258072173628348,0.10283203125,0.11623727918703183,0.016666666666666663,0.036741583802406594
16,fri_c1_100_10,0.04336587027973028,0.0424129998247394,2.0,0.0,0.1,0.0,0.02834200387388432,0.02838819991862728,0.9974015885677396,15.666272318072561,0.5,0.04242640687119289,10.0,2.933736054845519,0.06509315692088692,14,4.357142857142857,1.336306209562122,0.07142857142857142,0.11947688175846101,81.46666666666667,47.91979053362322,0.5,0.0,0.06366553372222059,0.06509315692088692,13,1.3,0.13,2.1666666666666665,0.752772652709081,1.8571428571428572,1.2149857925879117,10,0,0,2,100,10,30.414171578710235,,3.5555555555555554,1.6486202467362572,0.16586262949563357,0.10200062217145384,0.23660714285714285,0.13070760506557383,0.09999999999999999,0.1690920927109014
17,fri_c0_100_10,0.03213031532340404,0.014815222042355575,2.0,0.0,0.1,0.0,0.022276066979393265,0.02005475134541853,0.9927744539878083,19.72308557098732,0.5,0.07071067811865477,10.0,2.9424387978140003,0.04637616533304927,16,4.25,0.8563488385776752,0.0625,0.09255628917943214,77.86666666666667,26.508329927695478,0.5,0.0,0.05033565617380784,0.04637616533304927,15,1.5,0.15,3.0,1.4142135623730951,2.142857142857143,1.0690449676496974,10,0,0,2,100,10,38.733265681370014,,3.4193548387096775,1.3607398367159707,0.2580005327400437,0.08275120230510061,0.234375,0.09270248108869579,0.10000000000000002,0.12210516290528209
18,fri_c1_100_25,0.030335298584121387,0.014515570554074769,2.0,0.0,0.25,0.0,0.020313100038033147,0.02193914194949089,0.9974015885677396,21.77799309876753,0.5,0.04242640687119289,4.0,2.9516029888508455,0.05222011444264387,11,4.0,1.3416407864998738,0.09090909090909093,0.12980404812289525,54.4,33.8317405207989,0.5,0.06428243465332248,0.04579859971689425,0.052220114442643885,10,0.4,0.1,1.6666666666666667,0.816496580927726,1.4285714285714286,0.7867957924694431,25,0,0,2,100,25,42.66945741492261,,3.238095238095238,1.609495632325913,0.156195752848282,0.14260610368791157,0.26988636363636365,0.1392451239557585,0.04,0.08675806105382851
19,fri_c1_100_5,0.06527994318505438,0.09506482008858891,2.0,0.0,0.05,0.0,0.04544104948920534,0.027809669712107007,0.9927744539878083,9.633055005382742,0.5,0.07071067811865477,20.0,2.8897153046906157,0.06482187727886303,15,4.333333333333333,1.1126972805283737,0.06666666666666667,0.11159023681479018,80.66666666666667,39.4365071379058,0.5,0.14142135623730948,0.10305914929719258,0.06482187727886303,14,2.8,0.14,2.3333333333333335,1.2110601416389968,2.8,1.6431676725154984,5,0,0,2,100,5,18.406331350869028,,3.5172413793103448,1.5028708160235105,0.16857586908375738,0.08691366205145258,0.23125,0.11378237372909994,0.2,0.12387916576583753
20,fri_c0_100_50,0.028121157288067446,0.012454556103068753,2.0,0.0,0.5,0.0,0.012522315268840426,0.014188994346958219,0.99971144175281,35.79704884307291,0.5,0.014142135623730963,2.0,2.971784238978767,0.03274644398277249,17,4.764705882352941,1.4374200745044001,0.058823529411764705,0.10397610019501936,124.97142857142859,84.40973281083927,0.5,0.20797258270192576,0.027927202774042766,0.03274644398277249,16,0.32,0.16,2.2857142857142856,1.1126972805283737,1.0666666666666667,0.25819888974716115,50,0,0,2,100,50,70.61476271654823,,3.9393939393939394,1.7489174140628028,0.13991598583402168,0.10285670902169594,0.203125,0.13093223251636227,0.02,0.04290631689623662
21,fri_c4_100_25,0.0348282276374279,0.018556116810157043,2.0,0.0,0.25,0.0,0.020118061879710276,0.026004727846816796,0.9953784388202258,21.204662093009848,0.5,0.05656854249492382,4.0,2.9484369485736845,0.06448372222819146,14,3.9285714285714284,0.6157279262148818,0.07142857142857144,0.11621314256784603,56.800000000000004,15.918768152315659,0.5,0.10101525445522107,0.046941490246541304,0.06448372222819145,13,0.52,0.13,2.6,1.8165902124584952,1.3,0.4830458915396479,25,0,0,2,100,25,41.60623149149726,,3.111111111111111,1.2194996872404222,0.24329970246121693,0.16535846204059385,0.26339285714285715,0.06902728796292437,0.04,0.08041883257452005
22,fri_c1_100_50,0.027862571443272813,0.011229548926014368,2.0,0.0,0.5,0.0,0.009155817223614877,0.009063231957799294,0.9895875212220555,48.889812907150336,0.5,0.08485281374238575,2.0,2.9693463408538383,0.02049720985660692,12,3.9166666666666665,0.9962049198956219,0.08333333333333333,0.08957813586050128,51.6,20.240014372973693,0.5,0.11785113019775793,0.02024118036821786,0.02049720985660692,11,0.22,0.11,2.2,0.8366600265340756,1.2222222222222223,0.6666666666666667,50,0,0,2,100,50,97.80846687875695,,3.130434782608696,1.3916748518532023,0.20605956069785758,0.07141733960860029,0.2708333333333333,0.112542079672315,0.02,0.06261264953935497
23,fri_c4_100_10,0.07614809075356824,0.0912387201721278,2.0,0.0,0.1,0.0,0.026093910799845976,0.036289083909413516,0.9974015885677396,16.436044918978418,0.5,0.04242640687119289,10.0,2.936717793075306,0.0890200341527588,15,4.266666666666667,1.0327955589886446,0.06666666666666667,0.10146545271784922,77.2,38.49897957831387,0.5,0.23570226039551584,0.060683795492433655,0.0890200341527588,14,1.4,0.14,2.3333333333333335,1.505545305418162,2.0,0.816496580927726,10,0,0,2,100,10,31.957727574066613,,3.4482758620689653,1.4537195371222187,0.15936699691928946,0.12648818742533047,0.23541666666666666,0.10355475029917174,0.1,0.12644239513037392
24,transplant,0.30214954024295326,0.2353414788239492,2.30999838306347,0.020373833017591342,0.022900763358778626,0.0,0.16929399229671682,0.09065102715387399,0.9478774073663798,1.4876864109528465,0.5,0.18892165909564243,43.666666666666664,2.6207271276553645,0.30489973494440004,2,1.0,0.0,0.5,0.18892165909564243,4.0,0.0,0.5,0.0,0.6371486627744855,0.32527356796199136,1,0.3333333333333333,0.007633587786259542,1.0,,1.0,,3,0,0,2,131,3,2.6255249646205074,,0.6666666666666666,0.5773502691896258,0.5,,0.5,0.0,0.3333333333333333,0.5773502691896258
25,fri_c0_100_25,0.029721157202734164,0.014595240102271194,2.0,0.0,0.25,0.0,0.015423972922023223,0.01704020124845243,1.0,28.907129480155138,0.5,0.0,4.0,2.965406457922897,0.03989943148672239,14,4.571428571428571,1.785164750607962,0.07142857142857144,0.08456741897236991,111.0095238095238,97.45268010467882,0.5,0.0,0.03459354207710261,0.03989943148672239,13,0.52,0.13,1.8571428571428572,1.0690449676496974,1.3,0.6749485577105528,25,0,0,2,100,25,56.814258960310276,,3.7777777777777777,2.006400016357911,0.19850970594340375,0.24295722746013074,0.23660714285714285,0.14827700620816073,0.04,0.07302316711953596
26,fri_c3_100_5,0.1543466051015014,0.11396430884558507,2.0,0.0,0.05,0.0,0.045887417889841395,0.03653779564800249,0.9895875212220555,9.411855809483995,0.5,0.08485281374238575,20.0,2.884444864847647,0.08553989735203868,19,4.894736842105263,1.5949481650269413,0.05263157894736843,0.08026636941135143,170.5523809523809,171.41185809179666,0.5,0.03721614637823934,0.10514265637440845,0.08553989735203868,18,3.6,0.18,2.25,1.2817398889233114,3.6,2.073644135332772,5,0,0,2,100,5,18.021775452182666,,4.054054054054054,1.8995020684663937,0.13012251243963935,0.14286344412607582,0.19860197368421054,0.11891994274446356,0.2,0.12057919461477688
27,fri_c2_100_50,0.030626207659515323,0.023620509597730845,2.0,0.0,0.5,0.0,0.017317980461553438,0.028089561610974294,0.9814538950336537,24.564440574529392,0.5,0.11313708498984758,2.0,2.9414996411577756,0.07049584611964356,9,3.5555555555555554,1.130388330520878,0.1111111111111111,0.18563704132287584,34.13333333333333,15.156516750229917,0.5,0.07856742013183865,0.039954253875877505,0.07049584611964356,8,0.16,0.08,1.6,0.5477225575051661,1.3333333333333333,0.5163977794943223,50,0,0,2,100,50,49.05724812715138,,2.823529411764706,1.4245742398014511,0.19706908487134,0.12184758058765026,0.3125,0.1316585902058806,0.02,0.0894123885920252
28,fri_c4_100_50,0.03214539949768372,0.01311587956293909,2.0,0.0,0.5,0.0,0.013181791132818263,0.014265302504883068,0.9895875212220555,33.37751573317112,0.5,0.08485281374238575,2.0,2.9599391936133417,0.03442875252534912,14,4.071428571428571,0.8287419301647447,0.07142857142857144,0.10560136529253943,62.266666666666666,19.803824201185307,0.5,0.10101525445522107,0.02964832760871377,0.03442875252534911,13,0.26,0.13,2.6,1.51657508881031,1.4444444444444444,1.0137937550497031,50,0,0,2,100,50,66.45743053015211,,3.259259259259259,1.318291218923853,0.19825712630196757,0.11291388205586965,0.25,0.0933484992257096,0.02,0.07220829949010883
29,kc1-top5,0.12113596072850945,0.15570457727504328,1.8351487344616713,0.7474228120850349,0.6482758620689655,0.0,0.06313493236397559,0.1345181687689377,0.30797532887291956,5.9021493458350145,0.5,0.6290812053314802,1.5425531914893618,2.090943864083914,0.7218431441541716,8,3.125,0.6408699444616557,0.125,0.29812704508202975,23.333333333333332,5.656854249492381,0.5,0.0,0.05218019925067626,0.03372354771879651,7,0.07446808510638298,0.04827586206896552,1.75,0.9574271077563381,1.1666666666666667,0.408248290463863,94,2,0,2,145,94,34.16944666396397,,2.4,1.1212238211627763,0.24337065668081773,0.1481265199364758,0.359375,0.08010874305770696,0.010638297872340424,0.050597824585675924
30,kc1-binary,0.17752570894539396,0.18982397689265193,1.8351487344616713,0.7474228120850349,0.6482758620689655,0.0,0.09711096826476355,0.12806325209765435,0.9784493292686188,6.104571414670253,0.5,0.12191496227354263,1.5425531914893618,2.653316651194555,0.6615848169427404,22,5.181818181818182,1.4019158196439492,0.045454545454545456,0.07936841141023729,194.87619047619046,118.17202843160015,0.5,0.06428243465332248,0.1602814125357351,0.11512073698062794,21,0.22340425531914893,0.14482758620689656,3.0,1.4142135623730951,1.1666666666666667,0.5144957554275265,94,2,0,2,145,94,10.449541811671525,,4.325581395348837,1.7555480792884157,0.14469624541433534,0.07160690024359485,0.1690340909090909,0.11978872573088602,0.010638297872340425,0.040249333906024864
31,datatrieve,0.2576021186977042,0.24327614753267957,2.1554068975034926,0.4685845250684223,0.06153846153846154,0.0,0.019678503906201114,0.022397939540504976,0.41823656965418116,9.993224866105033,0.5,0.5874425566780549,16.25,2.531791454893569,0.47611426193361694,14,5.0,2.385855756810896,0.07142857142857142,0.1342362733117674,205.79682539682543,275.6880281043209,0.5,0.10101525445522107,0.04185201226410443,0.014617010101466932,13,1.625,0.1,1.4444444444444444,0.7264831572567789,1.8571428571428572,1.0690449676496976,8,1,0,2,130,8,50.500675377373405,,4.222222222222222,2.516611478423583,0.0987531103152787,0.13068540918372018,0.22293526785714285,0.16219326552219132,0.125,0.10761767245312671
