theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,y
-0.70922921,0.62438721,-0.55225633,-0.81182125,-1.1087006,1.3263755,0.16091547,0.43392845,0.76305206
-0.38307694,-0.38603716,1.142266,0.30051004,0.33185565,0.43361272,0.37958298,-0.5332661,0.41770684
-1.1782812,0.92470427,1.3438734,1.5291705,-0.42372952,-1.5287723,0.42962781,-1.5422532,0.16701134
-0.57876239,-0.54286382,-0.10008376,1.0488989,-1.5403528,0.57960457,-1.2281038,1.4310368,1.0346758
-0.40316608,0.25338493,-0.57320034,-1.4069422,-1.130626,-0.087709566,0.57602612,0.54125181,0.51273699
-0.83506841,0.73747442,-0.40032444,-0.86659549,-1.0665237,0.71021992,0.5326308,0.22263342,0.80606535
0.60467754,0.34941154,-0.81713274,0.62389675,-1.1977776,-1.5335696,0.33067028,-1.0725834,0.55228594
0.53131279,0.32754193,0.69120573,-0.58018756,-1.5084899,0.72013638,-0.39085356,0.3405464,0.40712945
-0.68117544,1.3657438,1.1685782,-0.41351445,-0.001058302,-0.53479349,0.86564946,0.80687339,0.66147934
-0.46147984,0.893675,0.57881629,-0.28165451,1.2511373,-0.04089692,1.0361854,0.42219233,0.84716434
-0.602949,-1.2004706,0.35109109,0.57592313,0.72724756,1.1631671,1.0309427,0.7637179,0.3011592
-0.93965001,-0.30360514,0.75075341,-0.5858256,1.4807251,-0.7997981,1.0043743,0.19240083,0.7446562
0.21491115,0.2194964,-0.67270155,-0.58881655,-1.2288562,-1.2470062,0.19105988,1.4279069,0.85521912
-1.4508021,-0.77906801,0.074392911,-0.44157229,-0.60611284,-0.72811256,-1.4804276,0.56761321,0.74398208
0.60272859,-1.4810481,1.3169321,0.17466607,0.24980361,-0.37577986,1.4519318,0.16636029,0.41848675
1.0811635,-1.2915311,0.7249266,0.94090137,0.17461699,-0.38871897,0.91292472,1.559107,0.57203837
0.46803493,-0.95341201,0.11574193,-0.10056749,0.37477604,1.3805806,-0.98383152,0.91039715,0.96204402
-0.75793752,-1.0148139,-0.53442612,0.37096116,0.98805523,0.5017482,-0.37669997,-0.46523839,1.3404791
-1.3142267,-1.3407483,0.057421152,-1.2976703,0.99242384,-0.28088484,-0.77957231,-1.3760619,1.0433234
-1.2589407,0.20838678,-0.69080731,1.5579806,0.7344182,-1.5578253,0.092240584,1.4609824,0.9548187
-0.24194771,0.61884665,-0.58812013,1.1951936,-0.44416864,0.74604806,-1.0948499,-1.1144128,0.4528368
0.24913725,-0.22120912,-0.87465693,-0.57419471,1.3299013,0.39687111,-0.1784856,0.14081914,1.2764617
-0.091619819,0.56897085,0.98998445,1.3757994,0.27635295,-0.57862719,-0.7120528,-0.99394127,0.48789588
1.3968472,-0.55707314,0.66591498,1.0593242,-0.54011016,0.46571069,1.267818,0.30584482,0.28067725
-0.527569,1.543384,0.31297207,1.2497909,-1.3849569,1.3272128,0.43590886,0.8100867,0.46031741
0.73971861,-1.5195634,0.34915056,1.4983015,0.55234359,1.3596703,-1.3202008,-0.70458162,0.62192532
0.02827542,-0.15081455,1.4894331,-0.90051593,1.1818955,0.12661571,0.66494896,-1.5303891,0.26245034
-1.4087547,0.44081573,-1.2685204,0.60336583,-1.427491,-1.1348712,-0.44432282,0.53643989,1.2647207
0.65937547,-0.42469586,0.71325022,1.1971315,-1.2216849,0.49610789,1.3848064,-1.1424275,0.55120546
0.79902762,-0.45176832,-0.6861622,-0.1820285,-1.0216395,0.038456495,-1.4927494,-1.3537999,0.56737188
0.10790628,0.38686571,0.47311517,-1.5559066,-0.88291255,-1.1492922,0.69778242,0.1833231,0.54160922
-1.286561,0.46596509,0.20544269,0.63543041,-0.99834564,1.5087684,0.57323173,-0.30052465,0.4290442
0.52676026,0.01956569,0.81518139,1.0463054,0.39267067,0.44645639,-0.75587984,-0.52751997,0.50732564
0.74029561,-1.3183495,-0.46765565,0.74249561,0.24783572,-1.5161692,-0.15356356,0.88539311,0.89986403
0.36951507,0.11354285,-0.5317917,-1.1432756,1.0527049,-0.12501204,-1.0460369,0.55516712,0.70997515
1.3012332,1.3470428,-0.48933215,-0.36258777,-0.56340903,-0.42287493,0.39844882,0.35943648,0.65433841
0.15991972,1.1800668,-0.89832703,-0.68898533,0.13064732,1.3496692,-0.3445251,-0.81334899,0.76911176
0.58533603,0.58270722,-1.3599434,-0.17870411,-0.36135773,-0.80270528,-1.1691696,0.87051788,0.88612782
-0.56944163,0.64872537,0.038883126,-0.45242767,-1.0067011,-1.1426689,1.4742049,-1.1920814,0.57437858
1.5707529,-0.78863856,0.90439863,0.83644008,-0.15152576,0.76581391,-1.3471574,-1.454177,0.47143299
0.57940879,0.28654512,-0.63401617,1.3189631,1.4956987,-1.1498694,1.4226313,0.59739898,1.0664542
0.40672047,0.74525377,1.2869024,0.87163419,0.031373449,0.66247642,-0.85709751,-0.99043124,0.38494126
-1.4066431,-1.3020262,-0.26537522,-0.77068885,0.66329915,1.3453188,-1.3997086,1.3813602,1.0665422
-0.60339185,-0.78869912,-1.0601092,-0.050051342,0.55857583,0.97519198,1.4907149,-0.3935892,0.55340249
1.2352466,1.0328067,0.62478451,-1.1825864,-0.36590489,0.50394427,0.81426948,0.83228359,0.67623676
