business_id	name	value
KPoTixdjoJxSqRSEApSAGg	lunch	true
KPoTixdjoJxSqRSEApSAGg	Alcohol	full_bar
KPoTixdjoJxSqRSEApSAGg	Waiter Service	true
KPoTixdjoJxSqRSEApSAGg	Attire	casual
KPoTixdjoJxSqRSEApSAGg	Delivery	false
KPoTixdjoJxSqRSEApSAGg	Good for Kids	true
KPoTixdjoJxSqRSEApSAGg	street	false
KPoTixdjoJxSqRSEApSAGg	garage	false
KPoTixdjoJxSqRSEApSAGg	lot	true
KPoTixdjoJxSqRSEApSAGg	valet	false
KPoTixdjoJxSqRSEApSAGg	validated	false
KPoTixdjoJxSqRSEApSAGg	Take-out	true
KPoTixdjoJxSqRSEApSAGg	Accepts Credit Cards	true
KPoTixdjoJxSqRSEApSAGg	Price Range	2
KPoTixdjoJxSqRSEApSAGg	Takes Reservations	true
KPoTixdjoJxSqRSEApSAGg	Caters	true
KPoTixdjoJxSqRSEApSAGg	Noise Level	average
KPoTixdjoJxSqRSEApSAGg	classy	false
KPoTixdjoJxSqRSEApSAGg	hipster	false
KPoTixdjoJxSqRSEApSAGg	touristy	false
KPoTixdjoJxSqRSEApSAGg	divey	false
KPoTixdjoJxSqRSEApSAGg	casual	true
KPoTixdjoJxSqRSEApSAGg	intimate	false
KPoTixdjoJxSqRSEApSAGg	romantic	false
KPoTixdjoJxSqRSEApSAGg	trendy	false
KPoTixdjoJxSqRSEApSAGg	upscale	false
KPoTixdjoJxSqRSEApSAGg	dinner	true
KPoTixdjoJxSqRSEApSAGg	latenight	false
KPoTixdjoJxSqRSEApSAGg	breakfast	false
KPoTixdjoJxSqRSEApSAGg	brunch	false
KPoTixdjoJxSqRSEApSAGg	dessert	false
KPoTixdjoJxSqRSEApSAGg	Has TV	true
KPoTixdjoJxSqRSEApSAGg	Wheelchair Accessible	true
KPoTixdjoJxSqRSEApSAGg	Good For Groups	true
KPoTixdjoJxSqRSEApSAGg	Outdoor Seating	true
KPoTixdjoJxSqRSEApSAGg	Wi-Fi	no
KPoTixdjoJxSqRSEApSAGg	Good For Kids	true
2bZk38_vJCkAVI0f2TeqZQ	By Appointment Only	false
2bZk38_vJCkAVI0f2TeqZQ	Good for Kids	false
2bZk38_vJCkAVI0f2TeqZQ	Wheelchair Accessible	true
2bZk38_vJCkAVI0f2TeqZQ	street	false
2bZk38_vJCkAVI0f2TeqZQ	garage	false
2bZk38_vJCkAVI0f2TeqZQ	lot	false
2bZk38_vJCkAVI0f2TeqZQ	valet	false
2bZk38_vJCkAVI0f2TeqZQ	validated	false
2bZk38_vJCkAVI0f2TeqZQ	Price Range	3
MwmXm48K2g2oTRe7XmssFw	By Appointment Only	false
MwmXm48K2g2oTRe7XmssFw	Good for Kids	true
MwmXm48K2g2oTRe7XmssFw	street	false
MwmXm48K2g2oTRe7XmssFw	garage	true
MwmXm48K2g2oTRe7XmssFw	lot	false
MwmXm48K2g2oTRe7XmssFw	valet	false
MwmXm48K2g2oTRe7XmssFw	validated	false
MwmXm48K2g2oTRe7XmssFw	Accepts Credit Cards	true
MwmXm48K2g2oTRe7XmssFw	Price Range	2
gZJmtLYGNLoAFU82XjJ75g	By Appointment Only	false
gZJmtLYGNLoAFU82XjJ75g	Good for Kids	false
gZJmtLYGNLoAFU82XjJ75g	street	false
gZJmtLYGNLoAFU82XjJ75g	garage	false
gZJmtLYGNLoAFU82XjJ75g	lot	false
gZJmtLYGNLoAFU82XjJ75g	valet	false
gZJmtLYGNLoAFU82XjJ75g	validated	false
gZJmtLYGNLoAFU82XjJ75g	Accepts Credit Cards	true
gZJmtLYGNLoAFU82XjJ75g	Price Range	3
-TIyxSc-lLmJzunje6MD9Q	By Appointment Only	true
-PisznY2s13FyX3tASY4aA	Wheelchair Accessible	true
-PisznY2s13FyX3tASY4aA	street	false
-PisznY2s13FyX3tASY4aA	garage	false
-PisznY2s13FyX3tASY4aA	lot	true
-PisznY2s13FyX3tASY4aA	valet	false
-PisznY2s13FyX3tASY4aA	validated	false
-PisznY2s13FyX3tASY4aA	Accepts Credit Cards	true
-PisznY2s13FyX3tASY4aA	Price Range	2
AkOruz5CrCxUmXe1p_WoRg	Alcohol	beer_and_wine
AkOruz5CrCxUmXe1p_WoRg	Open 24 Hours	false
AkOruz5CrCxUmXe1p_WoRg	Waiter Service	true
AkOruz5CrCxUmXe1p_WoRg	Attire	casual
AkOruz5CrCxUmXe1p_WoRg	Delivery	false
AkOruz5CrCxUmXe1p_WoRg	Good for Kids	true
AkOruz5CrCxUmXe1p_WoRg	street	false
AkOruz5CrCxUmXe1p_WoRg	garage	false
AkOruz5CrCxUmXe1p_WoRg	lot	false
AkOruz5CrCxUmXe1p_WoRg	valet	false
AkOruz5CrCxUmXe1p_WoRg	validated	false
AkOruz5CrCxUmXe1p_WoRg	Take-out	true
AkOruz5CrCxUmXe1p_WoRg	Accepts Credit Cards	true
AkOruz5CrCxUmXe1p_WoRg	soy-free	true
AkOruz5CrCxUmXe1p_WoRg	vegan	true
AkOruz5CrCxUmXe1p_WoRg	gluten-free	true
AkOruz5CrCxUmXe1p_WoRg	kosher	true
AkOruz5CrCxUmXe1p_WoRg	dairy-free	true
AkOruz5CrCxUmXe1p_WoRg	vegetarian	true
AkOruz5CrCxUmXe1p_WoRg	halal	true
AkOruz5CrCxUmXe1p_WoRg	Price Range	2
AkOruz5CrCxUmXe1p_WoRg	Takes Reservations	true
AkOruz5CrCxUmXe1p_WoRg	Order at Counter	false
AkOruz5CrCxUmXe1p_WoRg	Caters	true
AkOruz5CrCxUmXe1p_WoRg	Noise Level	average
AkOruz5CrCxUmXe1p_WoRg	classy	false
AkOruz5CrCxUmXe1p_WoRg	hipster	false
AkOruz5CrCxUmXe1p_WoRg	touristy	false
AkOruz5CrCxUmXe1p_WoRg	divey	false
AkOruz5CrCxUmXe1p_WoRg	casual	true
AkOruz5CrCxUmXe1p_WoRg	intimate	false
AkOruz5CrCxUmXe1p_WoRg	romantic	false
AkOruz5CrCxUmXe1p_WoRg	trendy	false
AkOruz5CrCxUmXe1p_WoRg	upscale	false
AkOruz5CrCxUmXe1p_WoRg	BYOB	false
AkOruz5CrCxUmXe1p_WoRg	dinner	true
AkOruz5CrCxUmXe1p_WoRg	latenight	false
AkOruz5CrCxUmXe1p_WoRg	breakfast	false
AkOruz5CrCxUmXe1p_WoRg	brunch	false
AkOruz5CrCxUmXe1p_WoRg	lunch	true
AkOruz5CrCxUmXe1p_WoRg	dessert	false
AkOruz5CrCxUmXe1p_WoRg	BYOB/Corkage	no
AkOruz5CrCxUmXe1p_WoRg	Has TV	false
AkOruz5CrCxUmXe1p_WoRg	Wheelchair Accessible	true
AkOruz5CrCxUmXe1p_WoRg	Good For Groups	true
AkOruz5CrCxUmXe1p_WoRg	Outdoor Seating	false
AkOruz5CrCxUmXe1p_WoRg	Wi-Fi	no
AkOruz5CrCxUmXe1p_WoRg	Good For Kids	true
HgoYXFi_R2LbzYUDsa79Sw	Wheelchair Accessible	true
HgoYXFi_R2LbzYUDsa79Sw	street	false
HgoYXFi_R2LbzYUDsa79Sw	garage	false
HgoYXFi_R2LbzYUDsa79Sw	lot	true
HgoYXFi_R2LbzYUDsa79Sw	valet	false
HgoYXFi_R2LbzYUDsa79Sw	validated	false
HgoYXFi_R2LbzYUDsa79Sw	Accepts Credit Cards	true
HgoYXFi_R2LbzYUDsa79Sw	Price Range	2
IZvR2t778V-3PqopbsZdeg	By Appointment Only	false
GrGHVKec258eN1_gtJwS1w	validated	false
reU2VaO-QvNAyCZEyxHMBw	By Appointment Only	false
reU2VaO-QvNAyCZEyxHMBw	Good for Kids	true
reU2VaO-QvNAyCZEyxHMBw	street	false
reU2VaO-QvNAyCZEyxHMBw	garage	false
reU2VaO-QvNAyCZEyxHMBw	lot	false
reU2VaO-QvNAyCZEyxHMBw	valet	false
reU2VaO-QvNAyCZEyxHMBw	validated	false
