business_id	name	full_address	city	state	latitude	longitude	stars	review_count	open	category
KPoTixdjoJxSqRSEApSAGg	Wild Thaiger	2631 N Central Ave - Phoenix, AZ 85004	Phoenix	AZ	33.4779358	-112.073524	4	281	t	Restaurants
2bZk38_vJCkAVI0f2TeqZQ	Eye Lounge	419 E Roosevelt St - Phoenix, AZ 85004	Phoenix	AZ	33.4586525	-112.067703	5	11	t	Shopping
MwmXm48K2g2oTRe7XmssFw	Arizona Science Center	600 E Washington St - Phoenix, AZ 85004	Phoenix	AZ	33.4484291	-112.067284	4	171	t	Shopping
-PisznY2s13FyX3tASY4aA	Ace Hardware	5555 N 7th St - Phoenix, AZ 85014	Phoenix	AZ	33.5115242	-112.055534	4	17	t	Shopping
AkOruz5CrCxUmXe1p_WoRg	Cherryblossom Noodle Cafe	914 E Camelback Rd - Phoenix, AZ 85014	Phoenix	AZ	33.5098152	-112.061005	4	494	t	Restaurants
HgoYXFi_R2LbzYUDsa79Sw	Samurai Comics	1051 E Camelback Rd - Phoenix, AZ 85014	Phoenix	AZ	33.5089493	-112.058655	5	35	t	Shopping
GrGHVKec258eN1_gtJwS1w	Michaels	1925 E Camelback Rd - Phoenix, AZ 85016	Phoenix	AZ	33.5092201	-112.041138	3	28	t	Shopping
P6H-p8fXbPq8VjO4kLTz4A	Runner's Den	6505 N 16th St - Phoenix, AZ 85016	Phoenix	AZ	33.531292	-112.047295	5	71	t	Shopping
5kRug3bEienrpovtPRVVwg	Rokerij	6335 N 16th St - Phoenix, AZ 85016	Phoenix	AZ	33.5303345	-112.047104	4	375	t	Restaurants
P3DbF086gy6yMYIgTdR9yg	Big Lots	3144 E Thomas Rd - Phoenix, AZ 85016	Phoenix	AZ	33.480484	-112.013397	3	8	t	Shopping
OkRzw22eDg45do8i-1jHow	My Sister's Closet	4869 N 20th St - Phoenix, AZ 85016	Phoenix	AZ	33.509285	-112.037216	4	47	t	Shopping
DC77ROlgfnpxQNFKQbbpnw	The Home Depot	3609 E Thomas Rd - Phoenix, AZ 85018	Phoenix	AZ	33.478981	-112.002975	4	38	t	Shopping
b-IWZuVd3f0GcbtetwG5WA	Arizona Hiking Shack	3244 E Thomas Rd - Phoenix, AZ 85018	Phoenix	AZ	33.480999	-112.010895	4	26	t	Shopping
aBHf1s6Epi3k4pXKIGd0dg	Anna's Linens	245 E. Bell Rd, #16 - Phoenix, AZ 85022	Phoenix	AZ	33.6394997	-112.07177	3	4	t	Shopping
jq_YnMQjcArdBWuwRospFg	Salute Ristorante Italiano	13226 N 7th St - Phoenix, AZ 85022	Phoenix	AZ	33.6063309	-112.066093	4	44	t	Restaurants
rDyAYMl4kRnut0mruZctOw	Aaron Brothers Art &	10633 N Tatum Boulevard - Phoenix, AZ 85028	Phoenix	AZ	33.5841217	-111.977623	5	4	t	Shopping
CvUiIs8x_Um5LjzA0t9wGA	Wigs Amor	13636 N Tatum Blvd - Ste 7 - Phoenix, AZ 85032	Phoenix	AZ	33.61092	-111.978912	3	4	t	Shopping
OCfXJuLuGKS0s7pZsKCf0A	Safeway Food & Drug	6202 S 16th Street - Phoenix, AZ 85042	Phoenix	AZ	33.3911591	-112.048874	3	5	t	Shopping
jz084uDhqyUK_jdbAqkYRg	Target	21001 N Tatum Blvd - Ste 1630 - Phoenix, AZ 85050	Phoenix	AZ	33.6760902	-111.971954	4	25	t	Shopping
6w-hwYu8Km3tKp0RFTp0bQ	Marshalls-Mega	21001 N Tatum Blvd - Ste 56 - Phoenix, AZ 85050	Phoenix	AZ	33.6777763	-111.970375	4	15	t	Shopping
OyJ_CGX0-bh-7VicqfBXGw	Barnes & Noble Booksellers	21001 N Tatum Blvd Suite 42 - Phoenix, AZ 85050	Phoenix	AZ	33.6754913	-111.975227	4	17	t	Shopping
WorzvsB28dlSnCyuNslSdA	Goodwill of Central Arizona	930 N Alma School Rd - Chandler, AZ 85224	Chandler	AZ	33.3194733	-111.860565	4	12	t	Shopping
OXJZlVOYZwyrf5cHLmfStw	Michaels	16239 N Scottsdale Rd - Scottsdale, AZ 85254	Scottsdale	AZ	33.6341286	-111.925377	4	14	t	Shopping
BUsmaloKEZeOvXLrSjKWSQ	Shane Co.	7144 E Acoma Dr - Scottsdale, AZ 85254	Scottsdale	AZ	33.6183128	-111.926193	5	84	t	Shopping
VLRmecRseHP8ZLljlp7CFw	Kidstop Toys & Books	6990 E Shea Blvd - Ste 103 - Scottsdale, AZ 85254	Scottsdale	AZ	33.5831642	-111.931007	5	19	t	Shopping
m7uxAxL9L3kuB8XWkoveHQ	Z Gallerie	Kierland Commons - 15044 N Scottsdale Rd - Ste 100 - Scottsdale, AZ 85254	Scottsdale	AZ	33.623909	-111.927628	4	13	t	Shopping
elBgDynz6UPoSqQgxiggJw	Revolution Hair Company Inc	3201 Glacier Ridge Rd - Middleton, WI 53562	Middleton	WI	43.107769	-89.4971848	5	3	t	Beauty_and_Spas
gZJmtLYGNLoAFU82XjJ75g	El Y Ella	1731 E McDowell Rd - Phoenix, AZ 85006	Phoenix	AZ	33.4656601	-112.044319	4	5	t	Beauty_and_Spas
reU2VaO-QvNAyCZEyxHMBw	Great Clips For Hair	1928 E Highland Ave - Ste F103 - Phoenix, AZ 85016	Phoenix	AZ	33.5057182	-112.040428	4	18	t	Beauty_and_Spas
aApHpyUbnqBJmL_3X6UFOA	Andys Nails	4041 E Thomas Rd - Phoenix, AZ 85018	Phoenix	AZ	33.4798508	-111.994041	3	10	t	Beauty_and_Spas
UAnuqYY2EoGSh4vC8BByyw	Skin Bliss	6317 N 7th St - Phoenix, AZ 85014	Phoenix	AZ	33.5295372	-112.06469	5	5	t	Beauty_and_Spas
ykBWmSL1yDrAob2a20b2DQ	Jewelry Nail & Spa	13448 N 7th Street - Phoenix, AZ 85022	Phoenix	AZ	33.609417	-112.065346	3	8	t	Beauty_and_Spas
MglY-6zpPbBUhbCZElSwrA	Sincerely Yours Salon - Hair!	401 E Bell Rd - Suite 5 - Phoenix, AZ 85022	Phoenix	AZ	33.6383629	-112.068443	5	28	t	Beauty_and_Spas
JlwJPlkE5E_97sPhqWnmCg	Hair Attractions	1245 W Baseline Rd - Ste 108 - Mesa, AZ 85202	Mesa	AZ	33.3783112	-111.86142	5	20	t	Beauty_and_Spas
vQQBk3jsTkbPfa-qGeF3rg	China Nail Salon	6245 E Bell Road - Scottsdale, AZ 85254	Scottsdale	AZ	33.6398964	-111.944389	4	7	t	Beauty_and_Spas
C6QXPtims5nbDj1uhoVkeQ	High Society Resale Boutique	10805 N 71st Way - Scottsdale, AZ 85254	Scottsdale	AZ	33.5843353	-111.926842	4	12	t	Shopping
XgVyl3T3Zn_k7SljAJ1d0Q	Dollar Tree	4831 E Greenway Rd - Scottsdale, AZ 85254	Scottsdale	AZ	33.6259537	-111.976143	4	8	t	Shopping
DxUn-ukNL27GOuwjnFGFKA	Hiro Sushi	9393 N 90th St - Ste 116 - Scottsdale, AZ 85258	Scottsdale	AZ	33.5705681	-111.886604	5	280	t	Restaurants
XovIlMQEVSC5_WLUKKJJjA	Psycho Jock Embroidery	9420 E Doubletree Ranch Rd - Ste C-109 - Scottsdale, AZ 85258	Scottsdale	AZ	33.5692177	-111.877541	5	3	t	Shopping
5g9IvafVHBiM1SsLnONq0Q	Ace Hardware	9015 E Via Linda - Scottsdale, AZ 85258	Scottsdale	AZ	33.5687561	-111.886436	5	10	t	Shopping
2A3y7QOidAu1Mm_DeFSDjg	Bicycle Ranch Retail Store	15454 N Frank Lloyd Wright Blvd - Scottsdale, AZ 85260	Scottsdale	AZ	33.6296577	-111.888161	4	28	t	Shopping
zKFX8BVTWYZNa2vJ46UdmQ	Arizona Mills	5000 S Arizona Mills Cir - Tempe, AZ 85282	Tempe	AZ	33.3846207	-111.960968	3	173	t	Shopping
