review_id	business_id	user_id	stars	text	review_date	cool	funny	useful
2-cN2nbZirStqaUFEYsxoQ	4GQhbPvGU5r23YdVm8EmkQ	vLtUlhN0sFbVI-0_E9M0JA	4	Every year, the Mrs.'s business partners take the finance team and spouses (i.e. ME!) out to dinner. This year it was Ferraro's. We began with drinks that were not watered down. My Jack & Coke was mostly Jack with a splash of Coke. My wife's Snickerdoodle (pinky drink) tasted like the real thing. It should've been a dessert drink. -  - The bread basket was warm and we began with an appitizer sampler: 1) lobster ravioli with asparagus was my favorite thing I ate here. Luckily, the Mrs. doesn't eat seafood so I got hers, too. 2) Mushroom risoto was cooked al dente. Very good. 3) Sausage had spice. Very good. Then I got the scallop appetizer. It was perfectly seared and seasoned. I could've ended the meal there, but my main dish was brought out: Osso Bucco (The house specialty) $43. -  - I was a bit disappointed here. The meat was fall off the bone tender and beefy. It was the tomato based sauce that just didn't seem to go well with the meat. I like my braised meats with garlic & rosemary, so I ate the rosemary garnish with it. I did eat the bone marrow on the bread. That was extremely rich. The barley side was kinda bland, but a plenty. I tried my wife's filet. It was kinda tough and dry. Nothing special. -  - The tiramisu was perfection, but it was way too small. I make mine from scratch, so I'm used to giving myself bigger slices. This was about half the size of a deck of cards. I recently read that the owner comes in everyday and personally makes the Tiramisu though.  -  - Limoncello was STRONG. I could only take a few sips and gave it to others who could handle it. -  - Overall, I did enjoy it because it was FREE!	2011-12-21	0	0	0
Qoev6efj6XBzQ4lyRu9ytA	GwSdGrvaXi4BdXNSWKn-EA	zPfZdsTf1VmMxpirft8zVQ	5	Recently moved to VA and this store is at the top of my Top 5 Things I Miss from Arizona list. Have not found another place that does what you guys do! I owe thanks to you for my son's entire board-book library!  -  - CHANGING HANDS RULES	2014-03-08	0	1	0
7Z755hz84r7hxNF6-7acSQ	H_SuH7uLiYahDMbNBB9kog	b1IBftHdMwRCo7w1qJ-15g	3	Okay, before my boyfriend and I went to KoMex, I was really excited and we really wanted to give this place a 5 star.  After trying this place out myself to see what the hype was all about, after all it's only like the most highly rated place on Yelp. -  - We ordered 2 beef (bulgogi) tacos, 2 pork belly tacos, 2 chicken tacos, and shared KimChi fried rice with bulgogi.  The beef tacos were good, but honestly carne asada tacos from like Pepe's are much better and the same cost.  Ranking it as bulgogi, is rather unsatisfying as well since it lacked well marinated flavors that I usually taste with bulgogi.  The pork belly tacos were the most delicious tacos that we had, it was slightly spicy but not over bearing, I have absolutely no complaints.  At the same time, they were not delicious enough for me to merit higher ratings.  The chicken tacos were tasteless, DON'T ORDER.  The KimChi fried rice with bulgogi was served with a fried egg on top, the presentation was great!  The rice itself was alright at best, the kimchi part, was not spicy, it just tasted like it lacked something.  Kimchi that I buy generically in the asian grocery store has more kick.  So we did add quite a bit of garlic chili to it to make me taste better.  I'm not really too sure if they subdued the taste down to white people spicy to make it more palatable since I saw on the menu that they were trying to franchise.  My advice is just stay true to the recipes. -  - The service is excellent, I'm pretty sure it was family run.  They were super nice and attentive, and if I could rate it based on service alone then I would give them a four star review. -  - The ambiance, is really shatty.  I would not be caught dead in that area after the sunsets.  The interior of the restaurant looks like it needs a face lift, and some deep cleaning.   -  - Overall, it was alright at best.  I would probably never come back, or go out of my way to eat there though.  So unless you are already in the vicinity don't bother driving out of your way.	2013-06-29	1	1	1
zxrZSOUVtiLiXV3N0WWXlA	1vFDFWDrlVSDEcuLTUD3oQ	NqoaK7KuK20O8t5nLLgPLg	5	I love the Premium Outlets! So many awesome stores and lots of deals to be found. Plus, it's not that far from home for me and I enjoy going to different places to shop. My favourite store there is the Nike Factory store and I've bought 2 pairs of shoes there so far! -  - Every place I've been in there, the staff has been friendly and very helpful. Not your snob store mentality at all!	2014-05-24	2	0	0
gR-Q00Kpuint83euafV53Q	XgVyl3T3Zn_k7SljAJ1d0Q	KJDymAcoPiW_vuqthGxfpQ	3	Normal Dollar Tree but I have to agree with the other reviewer that said it has a funny smell to it. They always seem to have fun seasonal items and it's easy to decorate an office desk for cheap here. I have never bought the food items so I can't speak for those things but on the whole you'll almost always find something to buy here - whether you intended to or not. -  - Overall: B - Smaller than some Dollar Tree locations, but still easy to find things!	2013-10-21	1	1	1
q4ooGcv3xuQPGCjJ7LKhZw	Q_Rwcv9APBLggk2KAsBEvg	YHyXm2325E6spmnDJW6FPw	5	I have been here a few more times since my last review and it's still the same great quality every time I go!  It's been remodeled so the place is nice and new. -  - We came around lunch time on a Thursday and we were seated right away.  The waitress and staff were SO friendly, definitely the best service that I received on my trip. -  - We ordered their famous watermelon lemonade and peach lemonade and both were GREAT!  The watermelon one is a little better though.  They do pour you distilled water and they leave the carafe at your table so you can refill your water if you need to.  But they charge for it tough...it was only a $1.00 if I remember correctly so it's not a big deal. -  - We ordered the guacamole, tortilla soup, green tamales, and an order of their steak enchiladas.  Everything was FANTASTIC!  The food is so flavorful and they use fresh and exotic ingredients.  Also the waitress knew that we were splitting everything so she had everything split into two dishes...a really nice touch. -  - The bill wasn't cheap though.  I think we spent around $85.00 including tip but it was well worth it.  I love you Border Grill!!!	2010-11-01	1	1	1
nlPueATg47bKL8i5y-YpZw	DO3Gk17RyJVW7zYMCtYPnw	EwuY1PA3d_CwXyfHkwowTg	5	As soon as we were seated our server came over and was among the friendliest servers we've ever encountered. He was instantly like an old friend. The waiter explained that the house tequilas were all 100% blue agave, so I ordered a house margarita. I will say hands down that it was the best margarita I've ever had (and I have had a lot of them!!) We were served jalapeno cornbread that my husband really loved but I found too crumbly.  -  - We ordered the crispy squid appetizer and it definitely lived up to the description. The dish was simply calamari, but they aren't joking that it is crispy. I was just slightly disappointed that the menu wasn't the same as the menu posted outside the restaurant. I was really looking forward to that roasted corn soup they advertised! -  - For our main entrees we both had trouble deciding so we asked our server for guidance and he was very helpful. I had the green chile cioppino and the husband had the pork loin. The green chile cioppino was heavenly and I was so sad I didn't get more broth! I wanted to lick the bowl clean. I wish the cioppino was served with rice instead of a chunk of unsavory cornbread in the bowl, but other than that I was very happy with this dish. I was not a fan of the pork loin because it was crusted with something that tasted very strong and spicy and I didn't get any pork flavor. However, my husband looked like he was in a state of bliss so I let him eat as much as he wanted. We were very tipsy at this point so we decided to skip dessert and hit the tables.  -  - I would highly recommend this place to anyone but its probably best if you like bold and spicy flavors. We had others who were on dates around us but also many large groups of friends and right next to us there was a big group of drunk, rowdy businessmen. This place is loud and open so its not a good place for people who desire a quiet, intimate atmosphere. -  - The servers here really know how to deliver service. When I stood up to use the restroom I asked a server where it was. He walked me halfway to the front so I could see it before he pointed it out to me. In addition, if you walk by any servers they immediately give you a wide berth as though you are some sort of royalty. I also like it when I leave the table and return to find that the server has folded my napkin. To me, that's the mark of truly excellent table service.	2010-01-15	0	0	1
mYG4yDGxmaiRLOvNhCKrzA	BkRQSTwBkXT6b1bqQ0gOFQ	Q-CpIWCG_VYN-tl47crPNw	3	I was in the neighborhood a couple of weeks ago and got a manicure and pedicure. They have a weak magazine selection, charge extra for callous removal (really?) and my technician tried to upsell me 3 times to a $50 package. I am not likely to go back.	2010-07-04	0	0	3
bxeUvk5zxBc3wKvhmGPB8w	VbI_ryrGPdNRaDrYRJGMiA	OOLEEaWVDBGqcuHRsVWinA	2	The place was clean, smelled good and they used fresh ingredients, those are the positive things I found about this place. I just wasn't a fan of these "Japanese" style crepes because of the thickness and heavy use of vanilla. I was expecting a variety of crepes and all they had were sweet which made the wife happy..at first. We are both very much into the traditional French Crepe which are much thinner and more egg based compared to the ones served at the Crepe Shack. The presentation as a cone was interesting and I had an issue with eating the crepe with plastic utensils. The lack of variety, savory and breakfast offerings, and the style of crepe, was the overall knock on this place.	2011-06-26	0	0	1
VWEG6F_n2V_5AYiq0ui-wg	zNzJkzZxPTeTbRIRfeU9_Q	OOLEEaWVDBGqcuHRsVWinA	2	I really wanted to like this place after all of these great reviews and the look of the menu but Rise and Shine fell short of my expectations. I have to say that the atmosphere was nice and we were seated very quickly. The waitress took our drink orders immediately and the service started off great. I was vey excited that they served Illy coffee being a huge coffee fanatic but they ruined a terrific bean and rather expensive one by burning it. This is by far the worst cup of Illy i've ever had.  - The menu look fantastic and my wife ordered the croissant French toast with blue berries and I had the chicken fried steak. The French toast was nothing like advertised and actually should of been called bread pudding since the consistency was equivalent. The mound of fresh blueberries on top was a nice touch. The wife was not to thrilled about the dish probably because mentally she was prepared for something else, I thought it was just okay. My country fried steak was disappointing , extremely chewy with bits of tendons everywhere, the gravy was good and the hash browns was the best part of the dish. Dont be fooled about the picture of the pot of bread, although it appears fancy, it had no taste and was cold. I will give this place another shot someday but not anytime soon.	2011-06-26	0	0	1
