user_id	name	review_count	yelping_since	fans	cool	cute	funny	hot	list	more	note	photos	plain	profile	writer	uv_cool	uv_funny	uv_useful	average_rate
kacGoYeEiJ2P-Le0twh_Iw	Leonard	42	2012-06-01	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	5	14	19	high
jYatk8cX1GSa0D0Ej7JjXg	Richard	8	2011-06-01	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	31	high
etPSRfrzJ7e3sHgG9xrOIQ	Troi	1	2012-04-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	4	high
tUtlCpzGh6yPXyvXYi4vIA	Lilly	21	2011-12-01	0	3	NA	NA	2	NA	NA	1	2	NA	NA	NA	6	1	16	high
kQm7gzs6oJWvHnZtChdt_Q	Amy	15	2010-10-01	4	1	1	NA	3	NA	NA	NA	NA	1	NA	NA	8	3	25	high
UPNbJcG0REMITs6wkqsxaw	Lee	1	2012-07-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
Ad5_NbfYyYKP0WeWoJxZFA	Jim	5	2012-12-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	high
ENCky0t5RuXVOEn9mxbRTw	Simon	4	2011-08-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	1	high
CUUpi7gtqx1zojEGJ6Z5ew	Gabe	511	2008-12-01	24	110	5	31	52	4	12	41	17	104	7	43	1094	478	1645	high
pdZa57zKzio5DJKCeL5mrQ	James	1	2009-01-01	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	0	3	high
dC3NbB41WTkcqrNQ6pF0Lw	Angel	22	2012-08-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	22	high
nSvEDAiYKscY3gqNFvprmA	Elizabeth	7	2010-02-01	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	6	1	7	high
jYBqqRCpQLhAOCJ_HvBq7g	Brittany	58	2010-07-01	3	19	2	8	20	NA	1	25	2	58	2	3	83	80	97	high
9rtg4LYz7eH1ZAC9xjzmhw	Jelli	1	2014-03-01	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
wnf-qnXVaw5PxewjHf120Q	annie	13	2011-01-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	8	high
dw3RUlY9HQKH2dvWVKKJWg	Lisa	25	2009-10-01	1	6	NA	2	2	NA	NA	2	1	3	NA	3	28	19	47	high
QTo0B1_d8Yk_IMxWfZjtAg	Brandy	20	2014-05-01	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	9	3	10	high
7EYE-xpV5Ldeqt9ZZZAomw	Anna	43	2009-11-01	0	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	23	23	52	high
y5p13FHs9Nq-2bsigIEIWg	Jenny	8	2012-09-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	12	high
_I3v476yxuQOdXpaNS4eJA	Barbie	91	2008-12-01	2	2	NA	1	4	NA	NA	1	1	2	NA	3	40	29	127	high
KMXEK4UY49LXjxMzcEKqrw	Bora	612	2007-04-01	145	1541	155	580	1270	40	119	603	183	1058	90	442	4317	3172	4774	high
c5k3n9fC1qavaqyHMNG19g	Kelly	23	2010-04-01	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	19	high
tRBC8zo48KbWIJn_hEG4mA	Michelle	60	2011-09-01	0	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	17	12	53	high
jK1pWtisgxgsTuVo0RSaeg	Robin	2	2012-05-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	6	high
QoBRBBc4uJBI-Oee2QGvUw	Kimo	3	2012-02-01	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	4	high
sCA_dfR1MgiKF_whyW2JSA	Doug	2	2010-08-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	high
wMwuwNOBLHsy50HKT4fLwQ	Barry	64	2012-01-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	10	high
