x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,y
2.0,2.12,3.0,11.0,7.56,54.81,14.0,69.0,10.0,11.13,25.0,37.0,5.0,4.0,10.0,3.0,2.03,2.0,19.0,61.0,19.0,96.0,4404.26,484.15,246.57,2.5,4.0,4.0,4.0,4.0,teamEdward
2.0,2.5,2.0,3.0,2.0,20.13,12.0,15.0,13.0,9.5,8.0,11.0,4.0,5.0,12.0,3.0,2.23,2.0,8.0,27.0,8.0,36.0,1022.0,138.0,58.67,2.33,2.0,2.0,2.0,4.0,teamEdward
5.0,2.32,6.0,11.0,22.0,25.15,20.0,52.0,40.0,31.25,14.0,41.0,6.0,12.0,32.0,3.0,2.2,2.0,30.0,101.0,33.0,140.0,19808.66,679.15,1102.37,2.1,2.0,2.0,2.0,9.0,teamEdward
2.0,2.17,56.0,14.0,83.82,31.79,13.0,141.0,13.0,10.94,18.0,28.0,6.0,4.0,13.0,3.0,2.01,2.0,14.0,32.0,14.0,58.0,2381.82,268.27,134.21,2.5,2.0,2.0,2.0,3.0,teamEdward
2.0,2.36,2.0,3.0,2.0,26.22,18.0,15.0,16.0,14.71,19.0,29.0,5.0,6.0,14.0,5.0,2.31,3.0,13.0,36.0,13.0,63.0,3911.7,309.71,219.21,2.75,2.0,2.0,2.0,4.0,teamEdward
2.0,2.3,2.0,7.0,2.0,20.13,10.0,19.0,15.0,9.5,10.0,17.0,5.0,5.0,14.0,3.0,2.18,2.0,12.0,21.0,12.0,36.0,1022.0,138.0,58.67,2.33,2.0,2.0,2.0,5.0,teamEdward
3.0,2.09,21.0,3.0,50.78,29.56,20.0,47.0,8.0,26.75,14.0,35.0,3.0,4.0,8.0,3.0,2.04,4.0,23.0,108.0,24.0,141.0,16882.93,684.06,939.83,2.5,4.0,4.0,4.0,3.0,teamEdward
3.0,2.31,3.0,3.0,16.29,16.060000000000002,13.0,19.0,14.0,13.92,8.0,15.0,2.0,6.0,12.0,5.0,2.24,3.0,14.0,30.0,15.0,43.0,1999.07,169.59,112.95,2.75,7.0,4.0,6.0,3.0,teamEdward
2.0,3.0,2.0,2.0,2.0,2.0,2.0,8.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.17,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.25,2.0,6.0,2.0,20.58,14.0,20.0,12.0,11.6,12.0,18.0,4.0,5.0,11.0,3.0,2.17,2.0,14.0,26.0,14.0,42.0,1714.42,180.38,97.13,2.33,6.0,4.0,6.0,5.0,teamEdward
2.0,2.15,2.0,7.0,2.0,39.27,10.0,22.0,10.0,7.54,15.0,20.0,6.0,4.0,10.0,3.0,2.1,2.0,15.0,31.0,15.0,49.0,1145.35,208.44,65.52000000000001,2.5,4.0,4.0,4.0,4.0,teamEdward
2.0,2.1,5.0,9.0,14.5,30.0,17.0,35.0,9.0,19.0,17.0,36.0,3.0,4.0,9.0,3.0,2.06,3.0,23.0,65.0,23.0,99.0,8093.46,477.97,451.53,2.5,4.0,4.0,4.0,4.0,teamEdward
2.0,3.0,2.0,2.0,2.0,2.0,2.0,46.0,18.0,2.0,2.0,2.0,5.0,6.0,16.0,3.0,2.09,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.25,2.0,2.0,2.0,5.0,teamEdward
2.0,2.33,4.0,5.0,42.0,10.72,8.0,12.0,4.0,6.0,5.0,6.0,3.0,3.0,5.0,3.0,2.1,2.0,5.0,9.0,5.0,13.0,141.48,36.87,9.75,3.0,2.0,2.0,2.0,3.0,teamEdward
